PRIOR-ART EVIDENCE MANIFEST
format-version: 1
subject: robotics libraries published by the kotoba-lang GitHub organization
declarant: Jun Kawasaki <root@junkawasaki.com>
measured-at-utc: 2026-08-19T07:11:13Z
measurement-method: GitHub REST API v3 (repos/{owner}/{repo}, repos/{owner}/{repo}/commits/{branch}); no local checkout was consulted
claim: each URL below was publicly accessible on the internet at the stated measurement time, at the stated default-branch commit; the git commit SHA-1 commits the full source tree by Merkle construction, so this manifest fixes the complete content of all listed repositories
license-of-all-listed-repositories: Apache-2.0 (SPDX), as reported by the GitHub licensee scan

count: 31

repo	visibility	default_branch	head_commit_sha1	tree_sha1	commit_date_utc	repo_created_utc	last_push_utc	spdx_license
com-sony-dualsense	public	main	cf9a4b55400e3de8e003fd462be0928e46b3977a	e11cc8a75de3df588ff37d6b179d32b1b91ae385	2026-07-05T12:57:51Z	2026-07-05T12:57:55Z	2026-07-05T12:57:59Z	Apache-2.0
com-cobot-assembly	public	main	5d65423b08f8ab93586d7fcdf6894ba4ae3d2465	bf732796c7e5cd9f91ea11897128660347c23b05	2026-08-04T00:54:22Z	2026-07-04T17:18:44Z	2026-08-04T00:54:22Z	Apache-2.0
com-ros-robotics	public	main	33c885b7c0961d2ca2459b2975963499c1c3b2bd	61e09b397ab36a7f4a453b4803d718fe5223108f	2026-08-04T02:03:45Z	2026-07-05T08:37:50Z	2026-08-04T02:03:45Z	Apache-2.0
com-ros2-nav	public	main	9b922b4cf57e851791398075f6d4dcacaaab7276	f348b1bc0cf5c14eb641f79afbe67016f65bb489	2026-08-04T02:03:51Z	2026-07-05T08:37:57Z	2026-08-04T02:03:52Z	Apache-2.0
com-abb-robotics	public	main	53149729dccc1f5225398b9eded64fc020011bbd	04df108b2992e3d31d3fa17998dd16a44757cf12	2026-08-14T11:41:46Z	2026-07-04T13:12:45Z	2026-08-14T11:41:47Z	Apache-2.0
com-universal-robots	public	main	cd000cad3448d158f494a786614d3e02c4b2b46d	11948094d6902546539e227bee7c74f3f63678ca	2026-08-17T12:03:47Z	2026-07-16T11:46:58Z	2026-08-17T12:03:48Z	Apache-2.0
com-semicon-robotics	public	main	f7c4247a8cc74992f218f0e10041c460a36b33a4	7cb3e5dc48f14f749ea999e784960994c33ec053	2026-08-04T02:06:56Z	2026-07-05T08:40:22Z	2026-08-04T02:06:56Z	Apache-2.0
com-bluefin-robotics	public	main	5bb3b79d613af54a3ee8c85dd99f339e04906dcf	32959f66d67a120e94ade8551ecf362c85e5c4a1	2026-08-14T11:43:14Z	2026-07-04T15:25:00Z	2026-08-14T11:43:14Z	Apache-2.0
com-liquid-robotics	public	main	b994dbb1f343fb5a25a71affa3716b057e6913bc	0e7e441f4e0b5d9eee58371327928364c3e51d54	2026-08-14T11:59:10Z	2026-07-05T00:20:06Z	2026-08-14T11:59:10Z	Apache-2.0
com-modbus-tcp	public	main	30639c5a3a3e91484a094ccd6f73a21a9be0d461	619ff356240d50608c7abaa55eb5bd4322fc4bc9	2026-08-14T12:01:33Z	2026-07-05T01:35:48Z	2026-08-14T12:01:34Z	Apache-2.0
org-farama-gymnasium	public	main	b7062c7f4f4ab695e5375a94716c9b5bcc86ee8f	2aaf47ac865d97d1b952e96dfa5aac2ed3fa3c70	2026-08-17T11:49:18Z	2026-07-01T09:21:09Z	2026-08-17T11:49:29Z	Apache-2.0
giemon	public	main	c4397ae42d55873afa352d463cac4298b9d6d76b	a3154ca1c1ea28dc9e25dd49433ab9dca97cf27e	2026-07-30T16:42:14Z	2026-07-01T12:42:27Z	2026-07-30T16:42:14Z	Apache-2.0
governor	public	main	90a2944e617e58b9c90314b7e84b003ec3ea0c1f	58bb33e58950d2b67910e0a87c7ec401e5bef08f	2026-08-17T09:15:46Z	2026-07-30T07:19:23Z	2026-08-17T09:15:56Z	Apache-2.0
physics	public	main	7d8e033ae6da07447c980484c0d1a8d69321a38a	31950fc63fcc3c11cdf4c8607ed9832d137443b7	2026-08-17T11:55:23Z	2026-07-02T02:41:22Z	2026-08-17T11:55:35Z	Apache-2.0
physics-2d	public	main	ab8ecd0933bc3f28fdd5c741cd71ffe3a5986ddb	09213e8eea703b1a7777f53a48b5ed3e43841643	2026-08-04T03:19:04Z	2026-07-01T09:22:02Z	2026-08-04T03:19:04Z	Apache-2.0
kami-app-giemon	public	main	91779d731281f46d8f28c9ac234826c281deb3f3	063f101fcd6713d0ad01b91c820480f2495ce5f8	2026-08-04T02:46:07Z	2026-07-02T08:32:44Z	2026-08-04T02:46:07Z	Apache-2.0
kami-app-giemon-factory	public	main	40877dd52749e9222d9b00bb00dc2dcdbf20f794	d69aff6fa1443eccb5974a7d17d1ac4112c37dfa	2026-08-04T02:46:13Z	2026-07-02T08:33:15Z	2026-08-04T02:46:14Z	Apache-2.0
kami-app-sarutahiko-factory	public	main	c967826da42d0a540aa900362c8af83318cb5e95	1a87cfbea5da64daadaf60167724b7e98918b940	2026-07-10T09:02:58Z	2026-07-02T01:59:05Z	2026-07-10T09:03:09Z	Apache-2.0
kami-app-hygaccess-plant	public	main	d772a6f47f1117736354d188df43c6ac5c841d66	f696546f2c3234d5b10f07c94041fe672131be14	2026-07-19T02:58:54Z	2026-07-18T09:27:41Z	2026-07-19T02:59:10Z	Apache-2.0

url-template: https://github.com/kotoba-lang/{repo}
url-template-at-commit: https://github.com/kotoba-lang/{repo}/tree/{head_commit_sha1}
END OF MANIFEST
